Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1
3,2,1,1,1,1,1,1
4,2,1,1,1,1,1,1
5,3,2,1,1,1,1,1
6,3,2,1,1,1,1,1
7,4,2,1,1,1,1,1
8,4,2,1,1,1,1,1
9,5,3,2,1,1,1,1
10,5,3,2,1,1,1,1
11,6,3,2,1,1,1,1
12,6,3,2,1,1,1,1
13,7,4,2,2,1,1,1
14,7,4,2,2,1,1,1
15,8,4,2,2,1,1,1
16,8,4,2,2,1,1,1
17,9,5,3,2,1,1,1
18,9,5,3,2,1,1,1
19,10,5,3,2,1,1,1
20,10,5,3,2,1,1,1
21,11,6,3,2,1,1,1
22,11,6,3,2,1,1,1
23,12,6,3,2,1,1,1
24,12,6,3,2,1,1,1
25,13,7,4,3,2,1,1
26,13,7,4,3,2,1,1
27,14,7,4,3,2,1,1
28,14,7,4,3,2,1,1
29,15,8,4,3,2,1,1
30,15,8,4,3,2,1,1
31,16,8,4,3,2,1,1
32,16,8,4,3,2,1,1
33,17,9,5,3,2,1,1
34,17,9,5,3,2,1,1
35,18,9,5,3,2,1,1
36,18,9,5,3,2,1,1
37,19,10,5,4,2,1,1
38,19,10,5,4,2,1,1
39,20,10,5,4,2,1,1
40,20,10,5,4,2,1,1
41,21,11,6,4,2,1,1
42,21,11,6,4,2,1,1
43,22,11,6,4,2,1,1
44,22,11,6,4,2,1,1
45,23,12,6,4,2,1,1
46,23,12,6,4,2,1,1
47,24,12,6,4,2,1,1
48,24,12,6,4,2,1,1
49,25,13,7,5,3,2,1
50,25,13,7,5,3,2,1
51,26,13,7,5,3,2,1
52,26,13,7,5,3,2,1
53,27,14,7,5,3,2,1
54,27,14,7,5,3,2,1
55,28,14,7,5,3,2,1
56,28,14,7,5,3,2,1
57,29,15,8,5,3,2,1
58,29,15,8,5,3,2,1
59,30,15,8,5,3,2,1
60,30,15,8,5,3,2,1
61,31,16,8,6,3,2,1
62,31,16,8,6,3,2,1
63,32,16,8,6,3,2,1
64,32,16,8,6,3,2,1
65,33,17,9,6,3,2,1
66,33,17,9,6,3,2,1
67,34,17,9,6,3,2,1
68,34,17,9,6,3,2,1
69,35,18,9,6,3,2,1
70,35,18,9,6,3,2,1
71,36,18,9,6,3,2,1
72,36,18,9,6,3,2,1
73,37,19,10,7,4,2,1
74,37,19,10,7,4,2,1
75,38,19,10,7,4,2,1
76,38,19,10,7,4,2,1
77,39,20,10,7,4,2,1
78,39,20,10,7,4,2,1
79,40,20,10,7,4,2,1
80,40,20,10,7,4,2,1
81,41,21,11,7,4,2,1
82,41,21,11,7,4,2,1
83,42,21,11,7,4,2,1
84,42,21,11,7,4,2,1
85,43,22,11,8,4,2,1
86,43,22,11,8,4,2,1
87,44,22,11,8,4,2,1
88,44,22,11,8,4,2,1
89,45,23,12,8,4,2,1
90,45,23,12,8,4,2,1
91,46,23,12,8,4,2,1
92,46,23,12,8,4,2,1
93,47,24,12,8,4,2,1
94,47,24,12,8,4,2,1
95,48,24,12,8,4,2,1
96,48,24,12,8,4,2,1
97,49,25,13,9,5,3,1
98,49,25,13,9,5,3,1
99,50,25,13,9,5,3,1
100,50,25,13,9,5,3,1
101,51,26,13,9,5,3,1
102,51,26,13,9,5,3,1
103,52,26,13,9,5,3,1
104,52,26,13,9,5,3,1
105,53,27,14,9,5,3,1
